ds,y
2020-07-28T12:00:00.000,688729
2020-07-28T12:10:00.000,604121
2020-07-28T12:20:00.000,572175
2020-07-28T12:30:00.000,537958
2020-07-28T12:40:00.000,533217
2020-07-28T12:50:00.000,647413
2020-07-28T13:00:00.000,958687
2020-07-28T13:10:00.000,1006511
2020-07-28T13:20:00.000,1053109
2020-07-28T13:30:00.000,1143277
2020-07-28T13:40:00.000,1110930
2020-07-28T13:50:00.000,1116638
2020-07-28T14:00:00.000,1079541
2020-07-28T14:10:00.000,1079616
2020-07-28T14:20:00.000,1085433
2020-07-28T14:30:00.000,1095324
2020-07-28T14:40:00.000,1042415
2020-07-28T14:50:00.000,1082226
2020-07-28T15:00:00.000,1054761
2020-07-28T15:10:00.000,1090690
2020-07-28T15:20:00.000,1097130
2020-07-28T15:30:00.000,1094674
2020-07-28T15:40:00.000,1126474
2020-07-28T15:50:00.000,1155437
2020-07-28T16:00:00.000,1124530
2020-07-28T16:10:00.000,1182221
2020-07-28T16:20:00.000,1191426
2020-07-28T16:30:00.000,1172793
2020-07-28T16:40:00.000,1218806
2020-07-28T16:50:00.000,1257329
2020-07-28T17:00:00.000,1233337
2020-07-28T17:10:00.000,1183696
2020-07-28T17:20:00.000,1218858
2020-07-28T17:30:00.000,1139136
2020-07-28T17:40:00.000,1071866
2020-07-28T17:50:00.000,1097425
2020-07-28T18:00:00.000,932584
2020-07-28T18:10:00.000,654950
2020-07-28T18:20:00.000,518930
2020-07-28T18:30:00.000,455317
2020-07-28T18:40:00.000,374389
2020-07-28T18:50:00.000,349628
2020-07-28T19:00:00.000,315495
2020-07-28T19:10:00.000,277972
2020-07-28T19:20:00.000,239268
2020-07-28T19:30:00.000,227690
2020-07-28T19:40:00.000,206261
2020-07-28T19:50:00.000,176779
2020-07-28T20:00:00.000,171851
2020-07-28T20:10:00.000,147232
2020-07-28T20:20:00.000,140736
2020-07-28T20:30:00.000,134323
2020-07-28T20:40:00.000,124015
2020-07-28T20:50:00.000,129243
2020-07-28T21:00:00.000,130414
2020-07-28T21:10:00.000,109140
2020-07-28T21:20:00.000,108209
2020-07-28T21:30:00.000,92393
2020-07-28T21:40:00.000,103084
2020-07-28T21:50:00.000,92199
2020-07-28T22:00:00.000,84233
2020-07-28T22:10:00.000,77761
2020-07-28T22:20:00.000,75422
2020-07-28T22:30:00.000,79006
2020-07-28T22:40:00.000,81242
2020-07-28T22:50:00.000,77397
2020-07-28T23:00:00.000,78432
2020-07-28T23:10:00.000,69109
2020-07-28T23:20:00.000,74025
2020-07-28T23:30:00.000,72796
2020-07-28T23:40:00.000,67937
2020-07-28T23:50:00.000,63730
2020-07-29T00:00:00.000,62581
2020-07-29T00:10:00.000,59850
2020-07-29T00:20:00.000,53932
2020-07-29T00:30:00.000,52520
2020-07-29T00:40:00.000,55847
2020-07-29T00:50:00.000,52352
2020-07-29T01:00:00.000,49031
2020-07-29T01:10:00.000,51585
2020-07-29T01:20:00.000,47839
2020-07-29T01:30:00.000,47547
2020-07-29T01:40:00.000,46634
2020-07-29T01:50:00.000,45423
2020-07-29T02:00:00.000,43706
2020-07-29T02:10:00.000,44470
2020-07-29T02:20:00.000,41560
2020-07-29T02:30:00.000,45203
2020-07-29T02:40:00.000,41352
2020-07-29T02:50:00.000,42902
2020-07-29T03:00:00.000,40399
2020-07-29T03:10:00.000,43398
2020-07-29T03:20:00.000,42400
2020-07-29T03:30:00.000,45732
2020-07-29T03:40:00.000,42862
2020-07-29T03:50:00.000,43988
2020-07-29T04:00:00.000,41647
2020-07-29T04:10:00.000,43527
2020-07-29T04:20:00.000,40431
2020-07-29T04:30:00.000,40488
2020-07-29T04:40:00.000,43858
2020-07-29T04:50:00.000,44567
2020-07-29T05:00:00.000,43974
2020-07-29T05:10:00.000,48055
2020-07-29T05:20:00.000,46605
2020-07-29T05:30:00.000,49046
2020-07-29T05:40:00.000,49515
2020-07-29T05:50:00.000,57690
2020-07-29T06:00:00.000,58266
2020-07-29T06:10:00.000,60504
2020-07-29T06:20:00.000,69638
2020-07-29T06:30:00.000,78500
2020-07-29T06:40:00.000,93866
2020-07-29T06:50:00.000,118034
2020-07-29T07:00:00.000,126296
2020-07-29T07:10:00.000,167938
2020-07-29T07:20:00.000,221044
2020-07-29T07:30:00.000,273378
2020-07-29T07:40:00.000,372568
2020-07-29T07:50:00.000,600161
2020-07-29T08:00:00.000,718533
2020-07-29T08:10:00.000,776400
2020-07-29T08:20:00.000,972279
2020-07-29T08:30:00.000,1128908
2020-07-29T08:40:00.000,1253590
2020-07-29T08:50:00.000,1507661
2020-07-29T09:00:00.000,1546447
2020-07-29T09:10:00.000,1428390
2020-07-29T09:20:00.000,1365952
2020-07-29T09:30:00.000,1338815
2020-07-29T09:40:00.000,1307272
2020-07-29T09:50:00.000,1272718
2020-07-29T10:00:00.000,1241833
2020-07-29T10:10:00.000,1197653
2020-07-29T10:20:00.000,1155643
2020-07-29T10:30:00.000,1150393
2020-07-29T10:40:00.000,1157584
2020-07-29T10:50:00.000,1136220
2020-07-29T11:00:00.000,1122845
2020-07-29T11:10:00.000,1141377
2020-07-29T11:20:00.000,1137313
2020-07-29T11:30:00.000,1091519
2020-07-29T11:40:00.000,1017693
2020-07-29T11:50:00.000,917165
2020-07-29T12:00:00.000,662086
2020-07-29T12:10:00.000,561642
2020-07-29T12:20:00.000,522469
2020-07-29T12:30:00.000,503427
2020-07-29T12:40:00.000,515315
2020-07-29T12:50:00.000,637346
2020-07-29T13:00:00.000,931080
2020-07-29T13:10:00.000,983570
2020-07-29T13:20:00.000,985094
2020-07-29T13:30:00.000,1117184
2020-07-29T13:40:00.000,1104500
2020-07-29T13:50:00.000,1059107
2020-07-29T14:00:00.000,1027842
2020-07-29T14:10:00.000,1023168
2020-07-29T14:20:00.000,1068728
2020-07-29T14:30:00.000,1034698
2020-07-29T14:40:00.000,1052581
2020-07-29T14:50:00.000,1071680
2020-07-29T15:00:00.000,1040251
2020-07-29T15:10:00.000,1062657
2020-07-29T15:20:00.000,1046149
2020-07-29T15:30:00.000,1069044
2020-07-29T15:40:00.000,1068039
2020-07-29T15:50:00.000,1065337
2020-07-29T16:00:00.000,1081525
2020-07-29T16:10:00.000,1077792
2020-07-29T16:20:00.000,1105963
2020-07-29T16:30:00.000,1172308
2020-07-29T16:40:00.000,1192328
2020-07-29T16:50:00.000,1189769
2020-07-29T17:00:00.000,1140142
2020-07-29T17:10:00.000,1104709
2020-07-29T17:20:00.000,1119690
2020-07-29T17:30:00.000,1053682
2020-07-29T17:40:00.000,1013428
2020-07-29T17:50:00.000,1021762
2020-07-29T18:00:00.000,835545
2020-07-29T18:10:00.000,538005
2020-07-29T18:20:00.000,457170
2020-07-29T18:30:00.000,399756
2020-07-29T18:40:00.000,316503
2020-07-29T18:50:00.000,282924
2020-07-29T19:00:00.000,249719
2020-07-29T19:10:00.000,233737
2020-07-29T19:20:00.000,208169
2020-07-29T19:30:00.000,184305
2020-07-29T19:40:00.000,175850
2020-07-29T19:50:00.000,163888
2020-07-29T20:00:00.000,156683
2020-07-29T20:10:00.000,136320
2020-07-29T20:20:00.000,134763
2020-07-29T20:30:00.000,127235
2020-07-29T20:40:00.000,114572
2020-07-29T20:50:00.000,112484
2020-07-29T21:00:00.000,113300
2020-07-29T21:10:00.000,106532
2020-07-29T21:20:00.000,99249
2020-07-29T21:30:00.000,96491
2020-07-29T21:40:00.000,88852
2020-07-29T21:50:00.000,87270
2020-07-29T22:00:00.000,84419
2020-07-29T22:10:00.000,79667
2020-07-29T22:20:00.000,74526
2020-07-29T22:30:00.000,77996
2020-07-29T22:40:00.000,70871
2020-07-29T22:50:00.000,74448
2020-07-29T23:00:00.000,76106
2020-07-29T23:10:00.000,65980
2020-07-29T23:20:00.000,63904
2020-07-29T23:30:00.000,63752
2020-07-29T23:40:00.000,55758
2020-07-29T23:50:00.000,61210
2020-07-30T00:00:00.000,57322
2020-07-30T00:10:00.000,56764
2020-07-30T00:20:00.000,54579
2020-07-30T00:30:00.000,51506
2020-07-30T00:40:00.000,50128
2020-07-30T00:50:00.000,54603
2020-07-30T01:00:00.000,51783
2020-07-30T01:10:00.000,50014
2020-07-30T01:20:00.000,48452
2020-07-30T01:30:00.000,50006
2020-07-30T01:40:00.000,48032
2020-07-30T01:50:00.000,46130
2020-07-30T02:00:00.000,45658
2020-07-30T02:10:00.000,46561
2020-07-30T02:20:00.000,45228
2020-07-30T02:30:00.000,45623
2020-07-30T02:40:00.000,47897
2020-07-30T02:50:00.000,47322
2020-07-30T03:00:00.000,42695
2020-07-30T03:10:00.000,40042
2020-07-30T03:20:00.000,41452
2020-07-30T03:30:00.000,42847
2020-07-30T03:40:00.000,45603
2020-07-30T03:50:00.000,47723
2020-07-30T04:00:00.000,42493
2020-07-30T04:10:00.000,46669
2020-07-30T04:20:00.000,48184
2020-07-30T04:30:00.000,46836
2020-07-30T04:40:00.000,43820
2020-07-30T04:50:00.000,44160
2020-07-30T05:00:00.000,47644
2020-07-30T05:10:00.000,46953
2020-07-30T05:20:00.000,48547
2020-07-30T05:30:00.000,48265
2020-07-30T05:40:00.000,48731
2020-07-30T05:50:00.000,53185
2020-07-30T06:00:00.000,57246
2020-07-30T06:10:00.000,59027
2020-07-30T06:20:00.000,70110
2020-07-30T06:30:00.000,79670
2020-07-30T06:40:00.000,94764
2020-07-30T06:50:00.000,106298
2020-07-30T07:00:00.000,129153
2020-07-30T07:10:00.000,161887
2020-07-30T07:20:00.000,215633
2020-07-30T07:30:00.000,312403
2020-07-30T07:40:00.000,406259
2020-07-30T07:50:00.000,598043
2020-07-30T08:00:00.000,689932
2020-07-30T08:10:00.000,762445
2020-07-30T08:20:00.000,943940
2020-07-30T08:30:00.000,1113077
2020-07-30T08:40:00.000,1244463
2020-07-30T08:50:00.000,1487365
2020-07-30T09:00:00.000,1514522
2020-07-30T09:10:00.000,1403031
2020-07-30T09:20:00.000,1335851
2020-07-30T09:30:00.000,1272368
2020-07-30T09:40:00.000,1228111
2020-07-30T09:50:00.000,1314202
2020-07-30T10:00:00.000,1238287
2020-07-30T10:10:00.000,1166605
2020-07-30T10:20:00.000,1150725
2020-07-30T10:30:00.000,1127400
2020-07-30T10:40:00.000,1124262
2020-07-30T10:50:00.000,1134080
2020-07-30T11:00:00.000,1121800
2020-07-30T11:10:00.000,1115609
2020-07-30T11:20:00.000,1128749
2020-07-30T11:30:00.000,1064041
2020-07-30T11:40:00.000,984243
2020-07-30T11:50:00.000,902679
2020-07-30T12:00:00.000,638851
2020-07-30T12:10:00.000,534988
2020-07-30T12:20:00.000,498858
2020-07-30T12:30:00.000,476927
2020-07-30T12:40:00.000,502825
2020-07-30T12:50:00.000,620765
2020-07-30T13:00:00.000,904027
2020-07-30T13:10:00.000,930124
2020-07-30T13:20:00.000,992736
2020-07-30T13:30:00.000,1078799
